award_id,agency_id,vendor_id,vehicle_id,contract_name,award_value,start_date,end_date,naics,psc,keywords,description
A001,DON,V001,VEH001,Submarine Readiness Analytics,18500000,2023-02-15,2026-02-14,541512,D399,"data analytics;Power BI;decision support","Fictional analytics support for submarine readiness dashboards."
A002,NAVSEA,V002,VEH001,NAVSEA Knowledge Integration,9200000,2023-05-01,2025-11-30,541611,R408,"knowledge management;SharePoint;workflow automation","Sample NAVSEA knowledge management modernization."
A003,CDAO,V004,VEH005,AI Experimentation Cell,26400000,2023-08-01,2026-07-31,541715,AJ12,"AI;machine learning;data governance","Synthetic CDAO AI prototyping support."
A004,DISA,V011,VEH006,Zero Trust Data Platform,48000000,2023-09-15,2026-09-14,541519,D310,"cyber;data engineering;cloud","Sample DISA zero trust data platform award."
A005,USAF,V005,VEH003,Digital Engineering Analytics,12100000,2024-01-10,2027-01-09,541330,R425,"digital transformation;data visualization","Fictional Air Force digital engineering analytics support."
A006,ARMY,V001,VEH004,Enterprise BI Modernization,22700000,2024-02-01,2026-08-31,541512,D399,"Power BI;business intelligence;data engineering","Sample Army enterprise BI modernization."
A007,DHA,V003,VEH002,Health Data Product Studio,7800000,2024-03-01,2025-09-30,541511,D302,"data analytics;product management;health IT","Synthetic DHA health data product studio."
A008,GSA,V008,VEH002,Federal Service Design Platform,5600000,2024-04-20,2026-04-19,541611,R499,"digital transformation;workflow automation","Sample civic technology platform support."
A009,DON,V006,VEH001,Navy Cyber Analytics Pilot,3400000,2024-06-01,2025-12-31,541519,D310,"cyber;data analytics;AI","Small-business cyber analytics pilot."
A010,NAVSEA,V010,VEH001,Team Submarine Search Modernization,2400000,2024-07-01,2025-06-30,541512,D399,"enterprise search;RAG;LLM;knowledge management","Sample RAG-enabled enterprise search support."
A011,CDAO,V009,VEH005,Data Governance Sprint,1750000,2024-08-15,2025-02-14,541611,R408,"data governance;acquisition analytics","Fictional data governance sprint."
A012,DISA,V006,VEH006,Cyber Mission Data Enrichment,6300000,2024-10-01,2026-03-31,541519,D317,"cyber;data engineering;knowledge graph","Sample cyber data enrichment award."
A013,DON,V002,VEH001,Acquisition Decision Support,11200000,2025-01-15,2027-01-14,541611,R408,"acquisition analytics;decision support;Power BI","Fictional Navy acquisition decision-support award."
A014,NAVSEA,V001,VEH001,Shipyard Metrics Platform,15800000,2025-02-01,2028-01-31,541512,D399,"data visualization;workflow automation;Power Platform","Sample shipyard metrics modernization."
A015,CDAO,V012,VEH005,Responsible AI Metrics,2600000,2025-02-20,2026-02-19,541715,AJ12,"AI;data governance;decision support","Small-business responsible AI measurement support."
A016,DISA,V011,VEH006,Cloud Cost Intelligence,19600000,2025-03-05,2027-03-04,541519,D399,"cloud;Power BI;data engineering","Synthetic cloud cost intelligence support."
A017,USAF,V004,VEH004,AI Workflow Automation,8700000,2025-04-01,2026-10-01,541715,AJ12,"AI;workflow automation;digital transformation","Sample AI workflow automation effort."
A018,ARMY,V007,VEH002,Acquisition Knowledge Base,3100000,2025-04-15,2026-04-14,541611,R408,"knowledge management;SharePoint;acquisition analytics","Small-business acquisition knowledge-base support."
A019,DHA,V003,VEH002,Clinical Analytics Enablement,9400000,2025-05-01,2027-04-30,541512,D399,"data analytics;Power BI;health IT","Sample health analytics enablement."
A020,GSA,V008,VEH002,Automation Playbook Support,1900000,2025-05-15,2026-05-14,541611,R499,"workflow automation;Power Platform","Synthetic service automation playbook support."
