opportunity_id,agency_id,title,notice_type,posted_date,due_date,naics,psc,keywords,url,description
DEMO-O001,DON,Demo Data Analytics Opportunity 1,RFI,2026-06-02,2026-07-04,541715,AJ12,data analytics;Power BI;decision support,https://sam.gov/example/public-demo-001,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O002,NAVSEA,Demo Ai Opportunity 2,Presolicitation,2026-06-03,2026-07-07,541611,R408,AI;machine learning;data governance,https://sam.gov/example/public-demo-002,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O003,CDAO,Demo Knowledge Management Opportunity 3,Special Notice,2026-06-04,2026-07-10,541519,D310,knowledge management;SharePoint;workflow automation,https://sam.gov/example/public-demo-003,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O004,DISA,Demo Cyber Opportunity 4,Sources Sought,2026-06-05,2026-07-13,541512,D399,cyber;data engineering;cloud,https://sam.gov/example/public-demo-004,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O005,USAF,Demo Digital Transformation Opportunity 5,RFI,2026-06-06,2026-07-16,541715,AJ12,digital transformation;data visualization,https://sam.gov/example/public-demo-005,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O006,ARMY,Demo Acquisition Analytics Opportunity 6,Presolicitation,2026-06-07,2026-07-19,541611,R408,acquisition analytics;decision support;Power BI,https://sam.gov/example/public-demo-006,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O007,DHA,Demo Rag Opportunity 7,Special Notice,2026-06-08,2026-07-22,541519,D310,RAG;LLM;enterprise search;knowledge management,https://sam.gov/example/public-demo-007,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O008,GSA,Demo Power Platform Opportunity 8,Sources Sought,2026-06-09,2026-07-25,541512,D399,Power Platform;workflow automation;data governance,https://sam.gov/example/public-demo-008,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O009,DON,Demo Data Analytics Opportunity 9,RFI,2026-06-10,2026-07-28,541715,AJ12,data analytics;Power BI;decision support,https://sam.gov/example/public-demo-009,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O010,NAVSEA,Demo Ai Opportunity 10,Presolicitation,2026-06-11,2026-07-31,541611,R408,AI;machine learning;data governance,https://sam.gov/example/public-demo-010,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O011,CDAO,Demo Knowledge Management Opportunity 11,Special Notice,2026-06-12,2026-08-03,541519,D310,knowledge management;SharePoint;workflow automation,https://sam.gov/example/public-demo-011,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O012,DISA,Demo Cyber Opportunity 12,Sources Sought,2026-06-13,2026-08-06,541512,D399,cyber;data engineering;cloud,https://sam.gov/example/public-demo-012,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O013,USAF,Demo Digital Transformation Opportunity 13,RFI,2026-06-14,2026-08-09,541715,AJ12,digital transformation;data visualization,https://sam.gov/example/public-demo-013,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O014,ARMY,Demo Acquisition Analytics Opportunity 14,Presolicitation,2026-06-15,2026-08-12,541611,R408,acquisition analytics;decision support;Power BI,https://sam.gov/example/public-demo-014,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O015,DHA,Demo Rag Opportunity 15,Special Notice,2026-06-16,2026-08-15,541519,D310,RAG;LLM;enterprise search;knowledge management,https://sam.gov/example/public-demo-015,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O016,GSA,Demo Power Platform Opportunity 16,Sources Sought,2026-06-17,2026-08-18,541512,D399,Power Platform;workflow automation;data governance,https://sam.gov/example/public-demo-016,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O017,DON,Demo Data Analytics Opportunity 17,RFI,2026-06-18,2026-08-21,541715,AJ12,data analytics;Power BI;decision support,https://sam.gov/example/public-demo-017,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O018,NAVSEA,Demo Ai Opportunity 18,Presolicitation,2026-06-19,2026-08-24,541611,R408,AI;machine learning;data governance,https://sam.gov/example/public-demo-018,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O019,CDAO,Demo Knowledge Management Opportunity 19,Special Notice,2026-06-20,2026-08-27,541519,D310,knowledge management;SharePoint;workflow automation,https://sam.gov/example/public-demo-019,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O020,DISA,Demo Cyber Opportunity 20,Sources Sought,2026-06-21,2026-08-30,541512,D399,cyber;data engineering;cloud,https://sam.gov/example/public-demo-020,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O021,USAF,Demo Digital Transformation Opportunity 21,RFI,2026-06-22,2026-09-02,541715,AJ12,digital transformation;data visualization,https://sam.gov/example/public-demo-021,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O022,ARMY,Demo Acquisition Analytics Opportunity 22,Presolicitation,2026-06-23,2026-09-05,541611,R408,acquisition analytics;decision support;Power BI,https://sam.gov/example/public-demo-022,Synthetic SAM-style opportunity used only to complete the public demo workflow.
DEMO-O023,DHA,Demo Rag Opportunity 23,Special Notice,2026-06-24,2026-09-08,541519,D310,RAG;LLM;enterprise search;knowledge management,https://sam.gov/example/public-demo-023,Synthetic SAM-style opportunity used only to complete the public demo workflow.
